sha8,label,top1,top1_korrekt,entscheidung,llr_margin,max_z_winner
03034e84,LOEFFEL-14,LOEFFEL-11,nein,ambiguous,0.2546,2.3579
039dec5e,GABEL-2,GABEL-2,ja,accept,4.3303,1.2891
0adcdc0b,LOEFFEL-2,LOEFFEL-2,ja,ambiguous,0.6742,1.7959
0b695ec4,LOEFFEL-4,LOEFFEL-4,ja,accept,5.0767,1.9331
0cb8f3c1,LOEFFEL-15,LOEFFEL-15,ja,accept,2.6163,1.316
0d539289,LOEFFEL-3,LOEFFEL-3,ja,ambiguous,1.4446,0.798
10560c2f,MESSER-7,MESSER-7,ja,ambiguous,0.1239,1.7756
152de077,GABEL-1,GABEL-1,ja,reject,12.8221,4.4936
1a48641b,MESSER-5,MESSER-5,ja,ambiguous,0.0562,1.4107
1ea08720,LOEFFEL-8,LOEFFEL-8,ja,accept,,2.1861
2316b3e0,LOEFFEL-7,LOEFFEL-7,ja,accept,,1.3633
262f2338,GABEL-4,GABEL-4,ja,ambiguous,0.1315,1.1591
2c88e15a,LOEFFEL-4,LOEFFEL-4,ja,accept,3.4599,0.8997
2e6faa90,MESSER-6,MESSER-6,ja,ambiguous,1.1124,1.7597
33b888ab,LOEFFEL-8,LOEFFEL-8,ja,accept,,1.6954
340fea39,LOEFFEL-12,LOEFFEL-12,ja,accept,14.8415,1.7495
3869c80d,LOEFFEL-11,LOEFFEL-11,ja,ambiguous,1.2749,1.1541
39cb6e0c,LOEFFEL-13,LOEFFEL-13,ja,ambiguous,1.3712,2.0481
3aae112e,LOEFFEL-15,LOEFFEL-15,ja,accept,5.4739,1.1287
41a471ce,LOEFFEL-12,LOEFFEL-12,ja,accept,14.4102,1.3429
4276dbde,LOEFFEL-4,LOEFFEL-4,ja,accept,4.8953,1.3649
4587d1a8,LOEFFEL-3,LOEFFEL-4,nein,ambiguous,1.8366,1.5059
46f9b1b3,LOEFFEL-14,LOEFFEL-14,ja,ambiguous,0.062,3.1014
49ba9d3f,LOEFFEL-9,LOEFFEL-9,ja,accept,,0.7032
4dd0d195,MESSER-1,MESSER-1,ja,accept,14.5955,0.6626
4ee58415,LOEFFEL-2,LOEFFEL-2,ja,ambiguous,0.9304,1.0708
4f08405b,LOEFFEL-1,LOEFFEL-1,ja,ambiguous,0.9338,1.5677
5118f824,LOEFFEL-10,LOEFFEL-10,ja,accept,,0.6152
51695897,LOEFFEL-4,LOEFFEL-1,nein,ambiguous,1.0475,2.8687
53a17205,LOEFFEL-11,LOEFFEL-11,ja,ambiguous,0.5885,0.8141
5747d120,MESSER-7,MESSER-7,ja,ambiguous,0.572,1.8552
57e075d6,LOEFFEL-13,LOEFFEL-13,ja,ambiguous,1.5734,0.975
57ea3daa,LOEFFEL-9,LOEFFEL-9,ja,accept,,0.997
5b64e610,GABEL-3,GABEL-3,ja,ambiguous,0.8354,1.1549
5ba3f2dd,LOEFFEL-4,LOEFFEL-4,ja,accept,4.6422,1.5313
5bf6b431,GABEL-1,GABEL-1,ja,reject,95.0315,4.2543
5db55def,LOEFFEL-5,LOEFFEL-5,ja,ambiguous,1.2053,0.7702
5e952338,LOEFFEL-1,LOEFFEL-1,ja,ambiguous,0.8601,1.0048
6039e5d8,LOEFFEL-2,LOEFFEL-2,ja,ambiguous,0.5095,1.9131
645eaac1,LOEFFEL-14,LOEFFEL-14,ja,accept,42.745,1.2045
69287856,LOEFFEL-12,LOEFFEL-12,ja,accept,12.8127,1.3702
6aae2d57,MESSER-6,MESSER-6,ja,ambiguous,0.6234,1.5973
6d6781ff,MESSER-2,MESSER-2,ja,ambiguous,0.1567,1.2625
70984ff0,LOEFFEL-7,LOEFFEL-7,ja,accept,,2.0399
72352211,MESSER-11,MESSER-11,ja,accept,12.71,1.7568
73f7ede8,GABEL-2,GABEL-2,ja,accept,2.757,1.0374
74cc2751,GABEL-2,GABEL-2,ja,accept,3.3498,1.1075
7d253afe,LOEFFEL-1,LOEFFEL-1,ja,ambiguous,1.1935,0.8888
7ffd971a,LOEFFEL-2,LOEFFEL-2,ja,ambiguous,0.9979,1.0852
