ground_truth,GABEL-1,GABEL-2,GABEL-3,GABEL-4,LOEFFEL-1,LOEFFEL-11,LOEFFEL-14,LOEFFEL-2,LOEFFEL-4,LOEFFEL-6,MESSER-1,MESSER-11,MESSER-2,MESSER-5,MESSER-6,MESSER-7
GABEL-1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GABEL-2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GABEL-3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
GABEL-4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
LOEFFEL-14,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
LOEFFEL-2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
LOEFFEL-4,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
MESSER-1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
MESSER-11,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
MESSER-2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
MESSER-5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
MESSER-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
MESSER-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
