margin,timestamp,ground_truth,bedraenger,log_score_top1,log_score_top2,diff_geometry,diff_color,diff_shape,bilddatei
0.0562,2026-07-23T18:20:28,MESSER-5,MESSER-7,-0.1868,-0.243,0.0151,-0.0034,0.0445,/Users/mikeeberharter/Documents/Doco_Detect/data/captures/1784823625772.png
0.1006,2026-07-23T18:19:56,MESSER-2,MESSER-5,-0.2179,-0.3185,-0.061,-0.0194,0.181,/Users/mikeeberharter/Documents/Doco_Detect/data/captures/1784823593398.png
0.1239,2026-07-23T18:23:45,MESSER-7,MESSER-5,-0.1865,-0.3104,0.007,0.0615,0.0554,/Users/mikeeberharter/Documents/Doco_Detect/data/captures/1784823790291.png
0.1315,2026-07-23T18:28:45,GABEL-4,GABEL-7,-0.4377,-0.5692,-0.1868,0.2669,0.0514,/Users/mikeeberharter/Documents/Doco_Detect/data/captures/1784824088290.png
0.1548,2026-07-23T18:20:54,MESSER-5,MESSER-7,-0.3458,-0.5006,0.1088,0.0385,0.0075,/Users/mikeeberharter/Documents/Doco_Detect/data/captures/1784823651806.png
0.1567,2026-07-23T18:19:38,MESSER-2,MESSER-5,-0.1239,-0.2806,-0.0022,-0.0293,0.1882,/Users/mikeeberharter/Documents/Doco_Detect/data/captures/1784823575837.png
0.1633,2026-07-23T18:20:06,MESSER-2,MESSER-7,-0.1991,-0.3624,-0.0166,0.0519,0.128,/Users/mikeeberharter/Documents/Doco_Detect/data/captures/1784823603596.png
0.2274,2026-07-23T18:27:20,GABEL-4,GABEL-7,-0.094,-0.3214,-0.0272,0.1518,0.1028,/Users/mikeeberharter/Documents/Doco_Detect/data/captures/1784824019144.png
0.3532,2026-07-23T18:27:58,GABEL-4,GABEL-3,-0.0615,-0.4147,0.2143,0.0156,0.1233,/Users/mikeeberharter/Documents/Doco_Detect/data/captures/1784824051256.png
0.4862,2026-07-23T18:22:03,MESSER-7,MESSER-5,-0.4009,-0.8871,-0.0835,0.0648,0.5049,/Users/mikeeberharter/Documents/Doco_Detect/data/captures/1784823717344.png
0.5095,2026-07-23T17:19:23,LOEFFEL-2,LOEFFEL-5,-0.2793,-0.7888,0.3454,-0.0197,0.1838,/Users/mikeeberharter/Documents/Doco_Detect/data/captures/1784819960130.png
0.572,2026-07-23T18:22:59,MESSER-7,MESSER-5,-0.3356,-0.9076,-0.0695,0.0657,0.5758,/Users/mikeeberharter/Documents/Doco_Detect/data/captures/1784823754744.png
0.6234,2026-07-23T18:21:37,MESSER-6,MESSER-7,-0.2542,-0.8776,0.042,-0.0011,0.5825,/Users/mikeeberharter/Documents/Doco_Detect/data/captures/1784823694743.png
0.6742,2026-07-23T17:19:12,LOEFFEL-2,LOEFFEL-5,-0.2998,-0.974,0.4853,-0.0191,0.208,/Users/mikeeberharter/Documents/Doco_Detect/data/captures/1784819949537.png
0.8354,2026-07-23T18:26:09,GABEL-3,GABEL-4,-0.1129,-0.9483,0.2004,0.0253,0.6097,/Users/mikeeberharter/Documents/Doco_Detect/data/captures/1784823949150.png
0.886,2026-07-23T18:25:38,GABEL-3,GABEL-4,-0.1164,-1.0024,0.0053,0.0296,0.8511,/Users/mikeeberharter/Documents/Doco_Detect/data/captures/1784823936281.png
0.9046,2026-07-23T18:26:45,GABEL-3,GABEL-4,-0.1692,-1.0738,0.074,0.0629,0.7677,/Users/mikeeberharter/Documents/Doco_Detect/data/captures/1784823980532.png
1.1124,2026-07-23T18:21:27,MESSER-6,MESSER-7,-0.2276,-1.34,0.0441,-0.0095,1.0778,/Users/mikeeberharter/Documents/Doco_Detect/data/captures/1784823683830.png
1.2635,2026-07-23T18:21:16,MESSER-6,MESSER-7,-0.2036,-1.4671,0.0093,0.0617,1.1925,/Users/mikeeberharter/Documents/Doco_Detect/data/captures/1784823673953.png
2.1155,2026-07-23T17:14:39,GABEL-2,GABEL-1,-0.9811,-3.0966,1.034,0.2894,0.7921,/Users/mikeeberharter/Documents/Doco_Detect/data/captures/1784819676630.png
2.1711,2026-07-23T17:20:10,LOEFFEL-4,LOEFFEL-1,-0.3813,-2.5524,1.155,0.1772,0.8389,/Users/mikeeberharter/Documents/Doco_Detect/data/captures/1784820007651.png
2.757,2026-07-23T17:14:02,GABEL-2,GABEL-1,-0.3943,-3.1513,-0.2023,0.4477,2.5116,/Users/mikeeberharter/Documents/Doco_Detect/data/captures/1784819639441.png
