timestamp,korrekt,entscheidung,log_score,posterior,max_abs_z,llr_margin
2026-07-23T17:20:25,nein,ambiguous,-1.4701,0.5735,2.8687,1.0475
2026-07-23T17:20:10,ja,accept,-0.3813,0.8147,1.737,2.1711
2026-07-23T17:20:01,ja,accept,-0.2385,0.9903,1.5313,4.6422
2026-07-23T17:19:35,nein,ambiguous,-0.6617,0.4032,2.3299,0.0155
2026-07-23T17:19:23,ja,ambiguous,-0.2793,0.4524,1.9131,0.5095
2026-07-23T17:19:12,ja,ambiguous,-0.2998,0.4549,1.7959,0.6742
2026-07-23T17:18:42,nein,ambiguous,-0.5589,0.5031,1.9512,0.1425
2026-07-23T17:18:26,nein,ambiguous,-0.7508,0.4768,2.4267,0.002
2026-07-23T17:18:11,ja,accept,-0.1183,1.0,1.2045,42.745
2026-07-23T17:16:37,ja,accept,-0.15,1.0,1.264,11.8849
2026-07-23T17:16:21,ja,accept,-0.2472,1.0,1.7204,13.2155
2026-07-23T17:16:10,ja,accept,-0.0483,1.0,0.6522,13.6008
2026-07-23T17:15:45,ja,accept,-0.0608,1.0,0.6626,14.5955
2026-07-23T17:14:39,ja,accept,-0.9811,0.8924,2.8514,2.1155
2026-07-23T17:14:27,ja,accept,-0.1071,0.9879,0.9229,4.4056
2026-07-23T17:14:17,ja,accept,-0.4343,0.987,1.2891,4.3303
2026-07-23T17:14:02,ja,accept,-0.3943,0.9403,1.0374,2.757
2026-07-23T17:13:46,ja,accept,-0.3647,0.9661,1.1075,3.3498
2026-07-23T17:12:33,nein,reject,-2.1903,1.0,4.4936,12.8221
2026-07-23T17:12:14,nein,reject,-2.6738,1.0,4.2543,95.0315
2026-07-23T17:11:58,ja,accept,-0.16,0.9968,1.2673,5.7395
2026-07-23T17:11:47,ja,accept,-0.2463,0.9967,1.7882,5.7194
2026-07-23T17:11:26,ja,accept,-0.4189,0.9998,1.8349,8.3521
2026-07-23T18:22:03,ja,ambiguous,-0.4009,0.4609,1.7388,0.4862
2026-07-23T18:24:22,ja,accept,-0.2052,1.0,1.5767,12.0912
2026-07-23T18:24:45,ja,accept,-0.1234,1.0,1.3226,12.5046
2026-07-23T18:25:18,ja,accept,-0.2008,1.0,1.7568,12.71
2026-07-23T18:28:45,ja,ambiguous,-0.4377,0.5328,1.1591,0.1315
2026-07-23T18:27:58,ja,ambiguous,-0.0615,0.3995,0.6851,0.3532
2026-07-23T18:27:20,ja,ambiguous,-0.094,0.4323,0.6938,0.2274
2026-07-23T18:26:45,ja,ambiguous,-0.1692,0.5893,1.2952,0.9046
2026-07-23T18:26:09,ja,ambiguous,-0.1129,0.5942,1.1549,0.8354
2026-07-23T18:25:38,ja,ambiguous,-0.1164,0.5688,1.0602,0.886
2026-07-23T18:23:45,ja,ambiguous,-0.1865,0.3578,1.7756,0.1239
2026-07-23T18:22:59,ja,ambiguous,-0.3356,0.4773,1.8552,0.572
2026-07-23T18:21:37,ja,ambiguous,-0.2542,0.4751,1.5973,0.6234
2026-07-23T18:21:27,ja,ambiguous,-0.2276,0.623,1.7597,1.1124
2026-07-23T18:21:16,ja,ambiguous,-0.2036,0.6574,1.6648,1.2635
2026-07-23T18:20:54,ja,ambiguous,-0.3458,0.3647,1.2165,0.1548
2026-07-23T18:20:41,nein,ambiguous,-0.1809,0.3349,1.6566,0.0329
2026-07-23T18:20:28,ja,ambiguous,-0.1868,0.3412,1.4107,0.0562
2026-07-23T18:20:06,ja,ambiguous,-0.1991,0.3615,1.1731,0.1633
2026-07-23T18:19:56,ja,ambiguous,-0.2179,0.3573,1.1524,0.1006
2026-07-23T18:19:38,ja,ambiguous,-0.1239,0.3641,1.2625,0.1567
