session,sha8,label,measured_circle_mm,nominal_neu_mm,residual_mm
phase-b,03034e84,LOEFFEL-14,141.94,145.38,-3.44
phase-b,0b695ec4,LOEFFEL-4,183.51,186.49,-2.98
phase-b,0cb8f3c1,LOEFFEL-15,130.40,133.25,-2.85
phase-b,0d539289,LOEFFEL-3,194.63,196.55,-1.92
phase-b,1ea08720,LOEFFEL-8,223.56,224.85,-1.29
phase-b,2316b3e0,LOEFFEL-7,271.53,274.60,-3.07
phase-b,2c88e15a,LOEFFEL-4,186.09,186.49,-0.40
phase-b,33b888ab,LOEFFEL-8,221.04,224.85,-3.81
phase-b,340fea39,LOEFFEL-12,191.23,194.99,-3.76
phase-b,3869c80d,LOEFFEL-11,140.21,141.30,-1.09
phase-b,39cb6e0c,LOEFFEL-13,138.22,140.66,-2.44
phase-b,3aae112e,LOEFFEL-15,131.88,133.25,-1.37
phase-b,41a471ce,LOEFFEL-12,191.67,194.99,-3.32
phase-b,4276dbde,LOEFFEL-4,183.69,186.49,-2.80
phase-b,4587d1a8,LOEFFEL-3,188.83,196.55,-7.72
phase-b,46f9b1b3,LOEFFEL-14,142.13,145.38,-3.25
phase-b,49ba9d3f,LOEFFEL-9,125.08,126.00,-0.92
phase-b,4ee58415,LOEFFEL-2,193.71,193.53,+0.18
phase-b,4f08405b,LOEFFEL-1,190.50,194.43,-3.93
phase-b,5118f824,LOEFFEL-10,109.83,110.72,-0.89
phase-b,53a17205,LOEFFEL-11,139.51,141.30,-1.79
phase-b,57e075d6,LOEFFEL-13,138.96,140.66,-1.70
phase-b,57ea3daa,LOEFFEL-9,125.27,126.00,-0.73
phase-b,5db55def,LOEFFEL-5,189.77,190.57,-0.80
phase-b,5e952338,LOEFFEL-1,191.91,194.43,-2.52
phase-b,69287856,LOEFFEL-12,192.52,194.99,-2.47
phase-b,70984ff0,LOEFFEL-7,272.79,274.60,-1.81
phase-b,7d253afe,LOEFFEL-1,193.69,194.43,-0.74
phase-b,7ffd971a,LOEFFEL-2,193.22,193.53,-0.31
