variant,max_z_accept,min_llr_margin,accept_k,accept_n,accept_p,accept_lo,accept_hi,false_k,false_n,false_p,false_lo,false_hi,reject,ambiguous,top1_k,top1_n
mit_vierlinge,2.0,0.0,81,104,0.7788,0.69,0.8479,4,81,0.0494,0.0194,0.1202,23,0,95,104
mit_vierlinge,2.0,0.1,77,104,0.7404,0.6486,0.815,3,77,0.039,0.0133,0.1084,23,4,95,104
mit_vierlinge,2.0,0.2,70,104,0.6731,0.5782,0.7557,2,70,0.0286,0.0079,0.0983,23,11,95,104
mit_vierlinge,2.0,0.3,68,104,0.6538,0.5584,0.7383,2,68,0.0294,0.0081,0.101,23,13,95,104
mit_vierlinge,2.0,0.4,66,104,0.6346,0.5388,0.7208,2,66,0.0303,0.0083,0.1039,23,15,95,104
mit_vierlinge,2.0,0.5,62,104,0.5962,0.5001,0.6854,2,62,0.0323,0.0089,0.1102,23,19,95,104
mit_vierlinge,2.0,0.6,59,104,0.5673,0.4714,0.6585,2,59,0.0339,0.0093,0.1154,23,22,95,104
mit_vierlinge,2.0,0.7,56,104,0.5385,0.443,0.6312,2,56,0.0357,0.0098,0.1212,23,25,95,104
mit_vierlinge,2.0,0.8,55,104,0.5288,0.4336,0.622,2,55,0.0364,0.01,0.1232,23,26,95,104
mit_vierlinge,2.0,0.9,50,104,0.4808,0.3872,0.5758,2,50,0.04,0.011,0.1346,23,31,95,104
mit_vierlinge,2.0,1.0,47,104,0.4519,0.3597,0.5476,2,47,0.0426,0.0117,0.1425,23,34,95,104
mit_vierlinge,2.0,1.1,47,104,0.4519,0.3597,0.5476,2,47,0.0426,0.0117,0.1425,23,34,95,104
mit_vierlinge,2.0,1.2,43,104,0.4135,0.3235,0.5095,2,43,0.0465,0.0128,0.1546,23,38,95,104
mit_vierlinge,2.0,1.3,38,104,0.3654,0.2792,0.4612,1,38,0.0263,0.0047,0.135,23,43,95,104
mit_vierlinge,2.0,1.4,38,104,0.3654,0.2792,0.4612,1,38,0.0263,0.0047,0.135,23,43,95,104
mit_vierlinge,2.0,1.5,37,104,0.3558,0.2704,0.4514,1,37,0.027,0.0048,0.1382,23,44,95,104
mit_vierlinge,2.0,1.6,37,104,0.3558,0.2704,0.4514,1,37,0.027,0.0048,0.1382,23,44,95,104
mit_vierlinge,2.0,1.7,37,104,0.3558,0.2704,0.4514,1,37,0.027,0.0048,0.1382,23,44,95,104
mit_vierlinge,2.0,1.8,37,104,0.3558,0.2704,0.4514,1,37,0.027,0.0048,0.1382,23,44,95,104
mit_vierlinge,2.0,1.9,37,104,0.3558,0.2704,0.4514,1,37,0.027,0.0048,0.1382,23,44,95,104
mit_vierlinge,2.0,2.0,36,104,0.3462,0.2617,0.4416,0,36,0.0,0.0,0.0964,23,45,95,104
mit_vierlinge,2.0,2.1,35,104,0.3365,0.253,0.4317,0,35,0.0,0.0,0.0989,23,46,95,104
mit_vierlinge,2.0,2.2,35,104,0.3365,0.253,0.4317,0,35,0.0,0.0,0.0989,23,46,95,104
mit_vierlinge,2.0,2.3,34,104,0.3269,0.2443,0.4218,0,34,0.0,0.0,0.1015,23,47,95,104
mit_vierlinge,2.0,2.4,34,104,0.3269,0.2443,0.4218,0,34,0.0,0.0,0.1015,23,47,95,104
mit_vierlinge,2.0,2.5,34,104,0.3269,0.2443,0.4218,0,34,0.0,0.0,0.1015,23,47,95,104
mit_vierlinge,2.0,2.6,34,104,0.3269,0.2443,0.4218,0,34,0.0,0.0,0.1015,23,47,95,104
mit_vierlinge,2.0,2.7,33,104,0.3173,0.2357,0.4119,0,33,0.0,0.0,0.1043,23,48,95,104
